s,,,
STT,Tên sách,Link,
143,Basic Reading 1200 (SB+Wb in gộp 6 quyển vào 3q): ,https://drive.google.com/file/d/1kTzlMGVBVfaOVkXtREerq1pfBiwwhsWL/view?usp=sharing,
144,All aboard reading,https://drive.google.com/drive/folders/1XuThIpBMiG-2dZADAWN_J_1sRlyyknsr?fbclid=IwAR35wgi7PopKEczHci-riMihVMsagl2miqkXjw1wVs8iSenWnc7qg2b2p6c,
145,English world,https://www.fshare.vn/file/TG0XR2BNYT?token=1660174683,
146,Family and Friends,https://drive.google.com/drive/u/0/folders/1Dvlo7oI0BR4ckTvBkCP6O15hncebUnqb?fbclid=IwAR0hxN_EWy1NqJG3p52wtPXfVuxZAhoq2B6BZJoACeYIGUGsVWFMCuN14UU&sort=13&direction=a&mibextid=q5o4bk,
147,Finger print 1,https://drive.google.com/drive/folders/1oCISif3REeeEvp3SHNT6QmYxICyyFUZO,
148,Finger print 2,https://drive.google.com/drive/folders/135dqGFIkul2arfu_m9aJSFQ3UGtBwyKI,
149,Finger print 3,https://drive.google.com/drive/folders/15twVPPF0x5DhBJNtt68g3UQF3nzCYwLX,
150,Sound great ,"https://drive.google.com/drive/folders/1e2YutrV19J3Vwa9o0JlOClZgm1KFlsbP
https://drive.google.com/drive/folders/12Kw6HiQ7nC0g0XHkRc83lHbFNw7C59Na
https://drive.google.com/drive/folders/1mKwzzNwQO3D3xpwk9PUGilvAjUnmvxgC
https://drive.google.com/drive/folders/1y95HS_r_38XdFWYHzTU7YN-BlTUW3AZ_
https://drive.google.com/drive/folders/1tXOhd_dbtxG2AnGn6PBrzVyG-7kQWWZO",
151,Toefl Junior,https://drive.google.com/drive/folders/0BxQZTDzSGTyRMWJGS0U0bmVmU2c?resourcekey=0-RIXr5HtzmYqpyDuz6-tvKQ,
152,Toefl step 1,https://drive.google.com/drive/folders/0B8cvuivS561ZdFpGdmRzRG1EeVE?fbclid=IwAR1I8ukpzJkxdWQkvhUbBePjZRtDqCwZqjnl5a7vArgvSGyl0DPX_02-z70,
153,My first writing,https://drive.google.com/drive/folders/1alZUatuuBhufYLgRWISbkuEvtkAXMISI?fbclid=IwAR31g55GsiicImizfV0s_t25IUMSbsASyO6NcyzXhnJ__kkb82vAn3jLuAM,
154,My next writing,https://drive.google.com/drive/folders/1Rspi_DOE15EJWiIQzTeST7AM0eSTT0an?fbclid=IwAR2sEMAxDRW5DJamDKpq0T3T7SVPHJSG7EyfatYwsqvr1F5X9kOt01ihnoc,
155,Ngôi nhà nhỏ trên thảo nguyên,https://drive.google.com/drive/folders/1HZAPt9J9J-5rb560qGggdtwC8VGuqD_T?fbclid=IwAR1usdbshrcOtyKYXokVUkYrH_YmjgF_Gs2S2T7phWbYDhxzAAoEHUIcWkw,
156,Oxford word skills,https://drive.google.com/drive/folders/1K_tU9JJbkD7JQhCUyCoTwYg5EJcMr2eL?fbclid=IwAR06Ymb2V4jJtBG4b25tBBuqLblJkCmfoBI96NTuamsGot8aCEIxn3EM9S0,
157,Let's go,https://drive.google.com/drive/folders/1kG-tISSazRqay9ZhyE5tSfoWvc-R86px?fbclid=IwAR1ewXZLBQmjld8OnNuPLM3RNOPhDR2rXKs9yEw-D9mkIpQn8VL-EajaJ4c,
158,Oxford Discove 1 pb1,https://drive.google.com/drive/folders/1qc_wKlM6MTGcBT1joGFLg_zaUbmOdhmL,
159,Oxford Discove 2 pb1,"https://onedrive.live.com/?authkey=%21AGKpB%5FgQFVh2ljQ&id=CBA1959CEE4CAE0E%217657&cid=CBA1959CEE4CAE0E
https://onedrive.live.com/?authkey=%21AN82idr4Hpqi2g8&id=CBA1959CEE4CAE0E%217658&cid=CBA1959CEE4CAE0E
https://onedrive.live.com/?authkey=%21AAc85b%2DdBgwOOkQ&id=CBA1959CEE4CAE0E%217659&cid=CBA1959CEE4CAE0E
",
160,Oxford Discove 3 pb2,https://drive.google.com/drive/folders/1PwUf0CKIgODj2tqAhUtrdk6JlTMPO5uX,
161,Oxford Discove 4 pb1,"https://onedrive.live.com/?authkey=%21APKYW0N0y0vbu70&id=CBA1959CEE4CAE0E%217665&cid=CBA1959CEE4CAE0E
https://onedrive.live.com/?cid=cba1959cee4cae0e&id=CBA1959CEE4CAE0E%217666&ithint=folder%2C&authkey=%21AA6Pa4VWVVBfTSE
https://onedrive.live.com/?authkey=%21AAD%2DxPTOsOvG7vo&id=CBA1959CEE4CAE0E%217667&cid=CBA1959CEE4CAE0E
",
162,Oxford Discove 5 pb1,"https://onedrive.live.com/?authkey=%21AJ40%5F4%5FmCzRUpkI&id=CBA1959CEE4CAE0E%217669&cid=CBA1959CEE4CAE0E
https://onedrive.live.com/?cid=cba1959cee4cae0e&id=CBA1959CEE4CAE0E%217670&authkey=%21AD8Zzg4YLuX%2D45g
https://onedrive.live.com/?authkey=%21ALAplYEZ7M10Poc&id=CBA1959CEE4CAE0E%217671&cid=CBA1959CEE4CAE0E
https://onedrive.live.com/?authkey=%21AAbdj7ZuCMBiUuc&id=CBA1959CEE4CAE0E%217672&cid=CBA1959CEE4CAE0E
",
163,Oxford Discove 6 pb1,"https://onedrive.live.com/?authkey=%21AC1UrHzWd9XqwmI&id=CBA1959CEE4CAE0E%217674&cid=CBA1959CEE4CAE0E
https://onedrive.live.com/?authkey=%21AER1e%2D17HD8%2DsTE&id=CBA1959CEE4CAE0E%217675&cid=CBA1959CEE4CAE0E
https://onedrive.live.com/?authkey=%21ALtxwgzimt%2DwPbc&id=CBA1959CEE4CAE0E%217676&cid=CBA1959CEE4CAE0E
",
164,Everybody up,https://tailieugiaoduc.net/download-everybody-up-1-2-3-4-5-6,
165,Heinemann GK,https://drive.google.com/drive/u/0/folders/1mUadKVnHD12M35H1wMBkOnmk2XCNCol0?sort=13&direction=a&fbclid=IwAR3V9HOXHcUbxHQXkihQKU-8_MlgnoR9wx1gqbf1EOXA2s2SkAKYFhOc4p8,
166,Heinemann G1,https://drive.google.com/drive/folders/1I1XZwSVjCiWJQeNODvCgR0nbbfm72AWg,
167,Heinemann G2,https://drive.google.com/drive/folders/1raiLoiKu6qePrLB3FLArxXaqB1k-gaDB,
168,Who Was 24q,https://drive.google.com/drive/folders/0B47kurV1dY6fUnFseFI0WHVRTlk?fbclid=IwAR1VRv4W0x5_BA-2b1-hVLfFLQcNtZgA0Ao_mDeOjK6RoP9MNXwCqDAksWo&resourcekey=0-OH5ABN0LqMYoZ17bydGu2A,
169,Show and tell,https://drive.google.com/drive/folders/1Py8kEJYU9hQ_FNtHKrf4PIucFy4BbXey?fbclid=IwAR1Rk6at6GPJWHmgI_TvWj-BAoBim6c75Fu1V7OR6BUPNu-REoS4qqWW8fM,
170,Activate-A2 SB,https://drive.google.com/drive/folders/1NwO0LuBYoMoBxZEYqCoUtAcPJUxCioFZ?usp=sharing,up lai
171,Activate trọn bộ,https://sachtienganhhanoi.com/product-tag/activate/,
172,Prepare 1,https://sachtienganhhanoi.com/video-cambridge-prepare-level-1-2nd-edition-with-subtitles/,
173,Prepare 2,https://drive.google.com/file/d/1F7NebOLAWpgrw1Rq74zhmx2NtJNjTQ7p/view?usp=drivesdk,
,,https://drive.google.com/file/d/1bTSWLK7LiCe26ASzfXrc7n87lkZICPy3/view?usp=drivesdk,
,,https://drive.google.com/file/d/1HjJ7aafVlBEYlkbXDshCd-_zqO8yBbsu/view?fbclid=IwAR1We8kt-YmuBK0DCLetZz8_Zi-ic7K_d5JPhfDY6OPITAq8_BAoIAfZhZY,
174,Prepare 3,https://drive.google.com/drive/folders/1Ramox_vqBYT7y1ZT2U-gWylMPcw7ZIsO?usp=drive_link,
176,"Start reading 1,2,3",https://drive.google.com/drive/folders/1E2OZ3sLDfn6KCrt9R_pp7SiW9rJ6wH-G,
,"Start reading ghép 2,3",https://drive.google.com/drive/folders/1YS9CJSkStIobsK8TQ0gDg_knaQIimBRd?usp=sharing,
177,Reading Challenge 1,https://drive.google.com/file/d/1nUlmgaFMytmBeO5GMnaQVudlwxzBtbc7/view?fbclid=IwAR216dQIh5RfcUnwQESIs2jQjLtqrf_zThG-BCXnafxz216b5EeBvqOAOdM,
178,Reading Challenge 2,https://drive.google.com/file/d/1MjPeOuXaqZKpL11L9C4ScuP408YPx5fg/view?fbclid=IwAR12R9oAa4NeehgLQRxag0oCHz2dncLPx-BwyZ5LVWn2fVmBdP5CT-n3S9U,
179,Reading Challenge 3,https://drive.google.com/drive/folders/1VBM3LoqWvKhlYXli5GYn4gVEq9xub_vo?fbclid=IwAR2UQIcq2bfhZjerwCt7mIiye2CP5URsjPbD1afXXT1gvCl71OcSEk3HTXI,
180,IELTS 17 cuốn,https://1drv.ms/u/s!AuEcae5VP-Pog6c5tFaIP3xq54clMw?e=gHxvnR,
181,1100 words Barrons,https://drive.google.com/drive/folders/1r5oW7BwyWEFKJFstZGbKhYqcN5jdFKMn?usp=sharing,
182,suti reaading,https://drive.google.com/drive/folders/1sz2FgLglwmjprF3SzrFkmr_GcaE3kSFT?fbclid=IwAR2Y1puxW6HEg92T3plSCYzdROH3u3nur1hs2HKLg7dmUeAm2NF8HmC5f2o,
183,FCE,https://drive.google.com/drive/folders/1swQ5-qmMMnlBXiqPYBeCvdsKMYVe3aRH?usp=sharing,
184,Debating challenge 123,https://drive.google.com/drive/folders/1d6-ESr0tw2P3Ack3j376bJra6a7cll4Y?usp=sharing,
185,Reading starter 1,https://drive.google.com/drive/folders/1zq_eKiv-dfdYPFFeEoJ_eTR5s7j9XZaQ?usp=sharing,
186,Mind set for ielts 1,https://drive.google.com/drive/folders/1NnkxIVmdEIcClQ3i6rFtFx6ty-h9rby_,
187,Mind set for ielts 2,https://drive.google.com/drive/folders/1joODSKyt4fVlM-k_hA0Ukq41dVmx4P7q,
,Mind set for ielts 3,https://drive.google.com/drive/u/2/folders/1KQRS4gZ_rT2WFMuctbuX3tRFqYuU6BjQ,
188,Oxford phonic word lv 5  CD+Video,https://drive.google.com/drive/folders/1auoqEQTp2alMUVG3kjoj5XZ1NPl-wKK7?usp=sharing,
189,Oxford phonic word lv 4  CD+Video,https://drive.google.com/drive/folders/1-0UnDwiHISIgkwv5Zg2M0GCZbKlEDR-A?usp=sharing,
190,Oxford phonic word lv 3  CD+Video,https://drive.google.com/drive/folders/1XzHsnJ0N2B1BfcJcV6v2bNYhdftO22QK?usp=sharing,
191,Oxford phonic word lv 2  CD+Video,https://drive.google.com/drive/mobile/folders/1jSca-ctzwQeA6T47Xe5GY5OlWf8SfTGe?usp=sharing,
192,Oxford phonic word lv 1  CD+Video,https://drive.google.com/drive/folders/10rnNDwPv-W3DLDcPgQWjiA55VDZJE5Wc?usp=sharing,
193,Đánh vần tiếng anh 50k,"https://www.youtube.com/playlist?list=PLCsFZ3F8DxTdavF30aWPcJOURWJeh-AL-
https://www.youtube.com/playlist?list=PLCsFZ3F8DxTeWLdM3ezmfQKBSezJtseKI
https://www.youtube.com/playlist?list=PLCsFZ3F8DxTcXQ61NO9lHa4mRjD7cGeCm
https://www.youtube.com/playlist?list=PLCsFZ3F8DxTfIxOm3KOhrO9KAwwKDM3RP
https://www.youtube.com/playlist?list=PLCsFZ3F8DxTcFGMLZNMLQ7LFEOIXnwNZy",
,Vocabulary in use file nghe và đáp án ,https://drive.google.com/drive/folders/11hv5lSHXRlQkJDOgdgKUFJRkhp_28t6G,
,Reading comprehension for early reader,https://drive.google.com/drive/folders/1wuCUZlmumv-n10WFJR9ECXIhec9KAU0h?usp=sharing,
,Skill for Success Level 1,File nghe sách Listening and Speaking,
,,File nghe Reading and Writing,
,Skill for Success Level 2,File nghe Skill for success level 2,
